id,name,Title analysis,Components counts
885848,Lux High Skyline- 1BR w/Spa + Pool + Gym(Min30day),"['Descriptive Adjectives', 'Property Type', 'Amenities']",3
888304,Cozy Apt @ Ratchayothin BTS Great Facility,"['Descriptive Adjectives', 'Property Type', 'Proximity to Transit', 'Amenities']",4
889909,Spare room in a gated compound,"['Property Type', 'Location Details']",2
915293,One bedroom suite with kitchen@ center of Bangkok,"['Bedroom Count', 'Property Type', 'Amenities', 'Location Details']",4
923795,3BR 300 SqM Apt near BTS PhromPhong,"['Bedroom Count', 'Property Type', 'Proximity to Transit']",3
933070,Yoong Thong Double Standard Room,"['Property Type', 'Bedroom Count']",2
933092,Rachapruk Twin Standard Room,"['Property Type', 'Bedroom Count']",2
941803,Suite Room 1 at MetroPoint,"['Themed Features', 'Property Type']",2
941865,Suite Room 3 at MetroPoint,"['Themed Features', 'Property Type']",2
952677,Standard Room Decor do Hostel,['Property Type'],1
959254,"Deluxe Condo, Nana, Pool/GYM/Sauna","['Descriptive Adjectives', 'Property Type', 'Amenities']",3
960858,"New, Stylish & Luxury Studio Condo","['Descriptive Adjectives', 'Property Type']",2
969792,1 penthouse in central Bangkok,"['Bedroom Count', 'Property Type', 'Location Details']",3
973830,BangLuang House1 @ Bangkok Thailand,"['Property Type', 'Location Details']",2
976690,Beautiful 1 BR apartment @BTS Ari,"['Descriptive Adjectives', 'Bedroom Count', 'Property Type', 'Proximity to Transit']",4
978969,"60 m2 apartment in Thong Lor, Bangkok","['Property Type', 'Location Details']",2
988373,BangLuang House 2@ Bangkok Thailand,"['Property Type', 'Location Details']",2
1016487,Private room in Bangkok,"['Property Type', 'Location Details']",2
1019241,Chic two bedroom for Monthly rental,"['Descriptive Adjectives', 'Bedroom Count', 'Additional Services']",3
1026451,"♡Chic Studio, Easy Walk to Pier & BTS Taksin♡","['Property Type', 'Descriptive Adjectives', 'Proximity to Transit', 'Location Details']",4
1028469,One Bedroom Suite- WIFI- SATHORN,"['Bedroom Count', 'Property Type', 'Amenities', 'Location Details']",4
1028486,STUDIO RM2 - WIFI- SATHORN,"['Property Type', 'Bedroom Count', 'Amenities', 'Location Details']",4
1035351,Room for Group stay 4pax,"['Property Type', 'Additional Services', 'Bedroom Count']",3
1035589,Double Bed Apartment,"['Property Type', 'Bedroom Count']",2
1035640,Double Bed Apartment,"['Property Type', 'Bedroom Count']",2
1041976,"Tranquil Large Entire Floor w/ Free Transfer, Siam","['Descriptive Adjectives', 'Property Type', 'Amenities', 'Additional Services', 'Location Details']",5
1052180,"City View, relaxed theme & delicious food around","['View', 'Themed Features', 'Location Details']",3
1057173,"IdeoMix, Sukhumvit RD, close to BTS","['Themed Features', 'Location Details', 'Proximity to Transit']",3
1067748,5 mins by car from Chong Nonsi BTS Station,"['Proximity to Transit', 'Location Details']",2
1079039,Spacious 1Bed apartment,"['Descriptive Adjectives', 'Bedroom Count', 'Property Type']",3
1088343,"On Nut BTS, 2 bed 2 bath, Big C, Lotus","['Proximity to Transit', 'Bedroom Count', 'Bathroom Count', 'Location Details', 'Amenities']",5
1094136,"Private, relaxed with amenities","['Descriptive Adjectives', 'Themed Features', 'Amenities']",3
1133843,เฮ้าส์โหมด House Mode,"['Themed Features', 'Property Type']",2
1138679,1 Bed Pool Access Onnut BTS,"['Bedroom Count', 'Amenities', 'Proximity to Transit', 'Location Details']",4
1141969,Great location on a charming loft,"['Location Details', 'Descriptive Adjectives', 'Property Type']",3
1151862,phiyapa,[],0
1155399,"Premium2B2BApt10m,Subway,Airport","['Descriptive Adjectives', 'Bedroom Count', 'Bathroom Count', 'Property Type', 'Proximity to Transit', 'Additional Services']",6
1160838,Spacious 2 Bedroom Apartment near BTS-non smoking,"['Descriptive Adjectives', 'Bedroom Count', 'Property Type', 'Proximity to Transit', 'Additional Services']",5
1178280,Crane nest 14 loft with views over Sathorn,"['Themed Features', 'Property Type', 'View', 'Location Details']",4
1187726,Private Studio Bed Room Walkable from BTS Ari,"['Property Type', 'Bedroom Count', 'Proximity to Transit', 'Additional Services']",4
1218098,Transit DMK & Not far from Impact,"['Proximity to Transit', 'Location Details']",2
1218842,F/F Studio APT For Rent. ARI BTS.,"['Property Type', 'Bedroom Count', 'Proximity to Transit']",3
1227663,Cool Luxury Apt in Best Location (great wifi),"['Descriptive Adjectives', 'Property Type', 'Location Details', 'Amenities']",4
1235695,Furnished studio 5min from Skytrain,"['Property Type', 'Bedroom Count', 'Proximity to Transit', 'Amenities']",4
1244333,"Private Room@Chatuchak,BTS,JJ market,DMK airport","['Property Type', 'Location Details', 'Proximity to Transit', 'Additional Services']",4
1255386,SSIP HOME-15minWalkKhaosan-FreeBreakfast-TripleBed,"['Themed Features', 'Proximity to Transit', 'Additional Services', 'Bedroom Count']",4
1296322,Mini chic Apartment -BTS S Taksin,"['Descriptive Adjectives', 'Property Type', 'Proximity to Transit', 'Location Details']",4
1302302,2 Beds Serviced Modern Oriental SkyVillas,"['Bedroom Count', 'Amenities', 'Descriptive Adjectives', 'Property Type', 'Themed Features']",5
1316688,Contemporary Modern Duplex - Thonglor,"['Descriptive Adjectives', 'Property Type', 'Location Details']",3
1338281,Loft Studio 6 min BTS Sapan Taksin,"['Property Type', 'Bedroom Count', 'Proximity to Transit', 'Location Details']",4
1338489,FABB Modern 4 BTS Sapan Taksin,"['Themed Features', 'Descriptive Adjectives', 'Proximity to Transit', 'Location Details']",4
1341114,Five artist loft apartments,"['Bedroom Count', 'Property Type', 'Themed Features']",3
1341890,"Studio near Airport Link Ramkhamhaeng, Kitchen","['Property Type', 'Proximity to Transit', 'Location Details', 'Amenities']",4
1344388,comfortable in Bangkok Near MRT,"['Descriptive Adjectives', 'Location Details', 'Proximity to Transit']",3
1350390,3.# Bargain Deal Cool  apartment 5 min BTS Taksin,"['Descriptive Adjectives', 'Property Type', 'Proximity to Transit', 'Location Details', 'Additional Services']",5
1353517,95 sqm. 2 br. 1-5 people. Next to thonglor bts,"['Area Size', 'Bedroom Count', 'Proximity to Transit', 'Location Details']",4
1388584,"The Oasis Ari, 90 sqm house (1.5 bedroom)","['Themed Features', 'Location Details', 'Area Size', 'Bedroom Count', 'Property Type']",5
1394285,Superior Double Room Near Airport,"['Descriptive Adjectives', 'Bedroom Count', 'Property Type', 'Proximity to Transit']",4
1395513,Superior Twin Room Near Airport,"['Descriptive Adjectives', 'Bedroom Count', 'Property Type', 'Proximity to Transit']",4
1400351,Studio in Beung Kum,"['Property Type', 'Location Details']",2
1404697,Superior Double Room Near Yanhen Hospital,"['Descriptive Adjectives', 'Bedroom Count', 'Property Type', 'Location Details']",4
1405479,Junior Family Room Near Yanhee Hospital.,"['Descriptive Adjectives', 'Bedroom Count', 'Property Type', 'Location Details']",4
1405480,Superior Twin Room Near Yanhee Hospital,"['Descriptive Adjectives', 'Bedroom Count', 'Property Type', 'Location Details']",4
1406065,Superior Db Rm Near Yanhee Hospital,"['Descriptive Adjectives', 'Bedroom Count', 'Property Type', 'Location Details']",4
1412787,"Big room suite by the river, near ICON SIAM","['Descriptive Adjectives', 'Property Type', 'View', 'Location Details']",4
1419797,2-room apartment@heart of BKK,"['Bedroom Count', 'Property Type', 'Location Details']",3
1420577,River view near ICON SIAM 74sqm. Free pick up,"['View', 'Location Details', 'Area Size', 'Additional Services']",4
1421233,Close to river and near city. Free pick up,"['View', 'Location Details', 'Additional Services']",3
1440474,"Studio Sukhumvit 22, MRT BTS Asok Phrom Phong (2F)","['Property Type', 'Location Details', 'Proximity to Transit']",3
1444053,Cozy 7th,"['Descriptive Adjectives', 'Location Details']",2
1452584,Quiet&Cozy Place on Thong Lor Street,"['Descriptive Adjectives', 'Location Details']",2
1453230,LumpiniVille Prachachuen-Phongphet2,['Location Details'],1
1457235,City view Studio surrounding by street food,"['View', 'Property Type', 'Location Details']",3
1463101,"Comfortable serviced 1BR, BTS, POOL","['Descriptive Adjectives', 'Amenities', 'Bedroom Count', 'Proximity to Transit']",4
1485265,New Model Studio 24 - Sukhumvit 77,"['Themed Features', 'Property Type', 'Location Details']",3
1504766,Cozy Riverfront APT with sunset view,"['Descriptive Adjectives', 'Property Type', 'View', 'Location Details']",4
1507375,One bed room comfortable condo,"['Bedroom Count', 'Descriptive Adjectives', 'Property Type']",3
1522068,100sqm 2BR • Easy DMK Access • Near SRT Station,"['Area Size', 'Bedroom Count', 'Proximity to Transit', 'Location Details']",4
1526123,Thong Lo Cozy Haven: Charming 60 sqm Home,"['Themed Features', 'Descriptive Adjectives', 'Area Size', 'Location Details', 'Property Type']",5
1547429,บ้านใกล้สุวรรณภูมิ ตรงข้ามแอร์พอร์ตลิ้งบ้านทับช้าง,"['Location Details', 'Proximity to Transit']",2
1560067,Central Bangkok closed by Sathorn,['Location Details'],1
1571204,Old Spice 3 Vintage Elegance in the Heart of BKK,"['Themed Features', 'Descriptive Adjectives', 'Location Details']",3
1585084,Luxury 3 Bedrooms Suite @BTS Phrompong,"['Descriptive Adjectives', 'Bedroom Count', 'Property Type', 'Proximity to Transit', 'Location Details']",5
1589614,็Home with club house,"['Amenities', 'Property Type']",2
1621954,Baan Nampetch Hostel (Standard Double room),"['Themed Features', 'Property Type', 'Bedroom Count']",3
1629978,iSanook Eco Studio 7,"['Themed Features', 'Property Type', 'Bedroom Count']",3
1630813,iSanook Suite Deluxe 45 sqm 1,"['Themed Features', 'Property Type', 'Area Size']",3
1630920,iSanook Studio 32 sqm 6,"['Themed Features', 'Property Type', 'Area Size']",3
1631106,iSanook Family Suite Deluxe 67 sqm 1,"['Themed Features', 'Property Type', 'Area Size']",3
1638413,Cool Studio 1 walk 5 min to BTS. S. Taksin,"['Descriptive Adjectives', 'Property Type', 'Proximity to Transit', 'Location Details']",4
1645379,Heart of Bangkok,['Location Details'],1
1645397,Private Apartment,"['Descriptive Adjectives', 'Property Type']",2
1647608,iSanook Suite 34 sqm 1,"['Themed Features', 'Property Type', 'Area Size']",3
1657411,Near Suvarnabhumi Airport,"['Proximity to Transit', 'Location Details']",2
1661636,Lumphini 10 City Center | Private Bathroom | A/C,"['Location Details', 'Amenities']",2
1662207,unit A-Sweet Studio- 2 guests,"['Themed Features', 'Property Type', 'Additional Services']",3
1665776,1 Bedroom with Twin Beds- 2 guests,"['Bedroom Count', 'Bed Type', 'Additional Services']",3
1665970,1 Bedroom with a Double Bed- 2 guests,"['Bedroom Count', 'Bed Type', 'Additional Services']",3
1666361,2 Bedrooms with two double beds for 4 people,"['Bedroom Count', 'Bed Type', 'Additional Services']",3
1669918,Condominium 190 m2,"['Property Type', 'Area Size']",2
1685582,SKY 9 Urban Oasis: Tranquil Retreat in Central BKK,"['Themed Features', 'Descriptive Adjectives', 'Location Details']",3
1704776,NEw Pro!!  Bungalow Bkk Centre,"['Descriptive Adjectives', 'Property Type', 'Location Details']",3
1765918,2BR apt in a cozy neighborhood,"['Bedroom Count', 'Property Type', 'Descriptive Adjectives', 'Location Details']",4
1791481,Nice and Quiet condo near BTS Onnut,"['Descriptive Adjectives', 'Property Type', 'Proximity to Transit', 'Location Details']",4
1793000,The Duplex - Asoke- Luxury 92sqm,"['Themed Features', 'Property Type', 'Location Details', 'Area Size']",4
1808600,Contemporary Modern Duplex-Thong Lo,"['Descriptive Adjectives', 'Property Type', 'Location Details']",3
1816517,1 BR condominium center BKK +NETFLIX+55SQM,"['Bedroom Count', 'Property Type', 'Location Details', 'Amenities', 'Area Size']",5
1817644,Baan Nampetch Hostel for 4 guest.,"['Themed Features', 'Property Type', 'Additional Services']",3
1821471,Baan Nampetch Hostel (Basic Double no window),"['Themed Features', 'Property Type', 'Bedroom Count', 'Additional Services']",4
1823321,กรองทองแมนชั่น (ลาดพร้าว 81),['Location Details'],1
1836007,Cozy1 BR - 3 min to BTS - (Wifi) #A,"['Descriptive Adjectives', 'Bedroom Count', 'Proximity to Transit', 'Amenities']",4
1842066,ICONSIAM River view  on 49th floor,"['View', 'Location Details', 'Property Type']",3
1849029,Self catering cozy1-bed near BTS,"['Descriptive Adjectives', 'Bedroom Count', 'Proximity to Transit', 'Amenities']",4
1862089,Lumphini Perfect Escape: Sunny Rooftop EnSuite,"['Themed Features', 'Descriptive Adjectives', 'View', 'Amenities']",4
1862331,Old Spice 1 Sizzling Studio Queen Twin - No Stairs,"['Themed Features', 'Property Type', 'Bedroom Count', 'Bed Type']",4
1887544,"""Serviced 2 Bed Scenic SkyVillas""","['Amenities', 'Bedroom Count', 'Descriptive Adjectives', 'Property Type']",4
1888303,Cozy 1BR rooftop (BTS Ploenchit) heart of bangkok,"['Descriptive Adjectives', 'Bedroom Count', 'Property Type', 'Proximity to Transit', 'Location Details']",5
1897982,Suvarnabhumi free transfer,"['Additional Services', 'Proximity to Transit']",2
1898332,"Apr. for rent full fur 1 bedroom, monthly","['Property Type', 'Amenities', 'Bedroom Count', 'Additional Services']",4
8731520,"1 br ground floor condo, fast wifi","['Bedroom Count', 'Property Type', 'Amenities']",3
8732425,Family Condo in Bangkok 5persons,"['Property Type', 'Location Details', 'Additional Services']",3
8746112,Convenient location condominium,"['Property Type', 'Location Details']",2
8759900,Luxury townhouse,"['Property Type', 'Descriptive Adjectives']",2
8766635,BANGKOK HORIZON RHATCHADA-TAPLA.,"['Property Type', 'Location Details']",2
8769212,"Free pick-up, Bangkok Sphere (Airport View)","['Additional Services', 'Location Details', 'View']",3
8783124,City condo near everything.Walk to MRT. Best value,"['Property Type', 'Location Details', 'Proximity to Transit', 'Descriptive Adjectives']",4
8783962,Private Resort-Style Studio for 2-3 peoples.,"['Property Type', 'Themed Features', 'Additional Services', 'Bedroom Count']",4
8785499,supalai park srinakarin,"['Property Type', 'Location Details']",2
8792375,"Quiet&Clean Studio on Silom, 5 mins to skytrain.","['Property Type', 'Location Details', 'Descriptive Adjectives', 'Proximity to Transit']",4
8801560,"30th floor, 10 min to BTS, Seaview","['Floor Level', 'Proximity to Transit', 'View']",3
8802895,Lovely spacious sunny apartment,"['Property Type', 'Descriptive Adjectives']",2
8803789,"Bright, 19. Floor, 58m2, washer,fast WiFi","['Descriptive Adjectives', 'Floor Level', 'Property Type', 'Amenities']",4
8804583,close to airport link station huamak good view,"['Proximity to Transit', 'Location Details', 'View']",3
8810615,Great location near Bts sky trains,"['Location Details', 'Proximity to Transit', 'Descriptive Adjectives']",3
8818555,Baan Ongkharak b&b Twin Room,"['Property Type', 'Additional Services', 'Bedroom Count']",3
8832107,Loft studio with golden river view,"['Property Type', 'Themed Features', 'View']",3
8855331,1 Bedroom Ideo Condo Sathorn-Thapra,"['Bedroom Count', 'Property Type', 'Location Details']",3
8869617,Amazing Condo - Flawless Sathorn,"['Property Type', 'Descriptive Adjectives', 'Location Details']",3
8875113,River-sided Condo FOR MONTHLY RENT,"['Property Type', 'View', 'Additional Services']",3
8880974,"Modern,wifi,5m MRT&2 Shopping Mall","['Descriptive Adjectives', 'Amenities', 'Proximity to Transit', 'Location Details']",4
8892819,Thonburi Condo 2 Bedrooms,"['Property Type', 'Bedroom Count', 'Location Details']",3
8910893,Private condo at Thonglor 1BR/1Bath/ with BALCONY,"['Property Type', 'Location Details', 'Bedroom Count', 'Amenities']",4
8931548,40m2 Lux 1Br Walk to MBK BTS Siam:B,"['Property Type', 'Area Size', 'Bedroom Count', 'Proximity to Transit', 'Location Details']",5
8941130,Ideo Wutthakat (BTS Wutthakat),"['Property Type', 'Location Details', 'Proximity to Transit']",3
8944285,Siamese Gioia(3Bedrooms)Sukhumvit31,"['Property Type', 'Bedroom Count', 'Location Details']",3
8957682,Garden Room Thai1 Suvarnabhumi,"['Property Type', 'Location Details', 'Themed Features']",3
8975439,Siam Triple Room with 24/7 Front Desk & Balcony,"['Property Type', 'Bedroom Count', 'Amenities', 'Additional Services']",4
8976962,24 HRs Front desk with clean Double room in Siam,"['Amenities', 'Additional Services', 'Property Type', 'Location Details']",4
8977276,24HRS Front desk with Clean Twin room in Siam,"['Amenities', 'Additional Services', 'Property Type', 'Location Details']",4
8993250,Cozy 1BR 75 sq.m Close to BTS Ratchayotin Station,"['Descriptive Adjectives', 'Bedroom Count', 'Area Size', 'Proximity to Transit', 'Location Details']",5
8994717,Songphra Studio  Women's Apt. 7,"['Property Type', 'Themed Features', 'Location Details']",3
8995993,"2 bedrooms apartment,Great location","['Property Type', 'Bedroom Count', 'Location Details', 'Descriptive Adjectives']",4
9000783,Newly Studio with Sofabed for 2-3 people near BTS.,"['Property Type', 'Themed Features', 'Bedroom Count', 'Proximity to Transit']",4
9008384,BRAND New Sukhumvit Condo Cozy BTS,"['Descriptive Adjectives', 'Property Type', 'Location Details', 'Proximity to Transit']",4
9012311,Private room 8 bed (ensuite) Phayathai station,"['Property Type', 'Bedroom Count', 'Amenities', 'Location Details']",4
9033067,Entire floor of Thai Vintage Art Apartment,"['Property Type', 'Themed Features', 'Amenities']",3
9036479,ibiza residence RCA,"['Property Type', 'Location Details']",2
9036578,Lumpini place Srinakarin-Huamak,"['Property Type', 'Location Details']",2
9051639,Fuse condo,"['Property Type', 'Location Details']",2
9052577,Colonial B&B - 1 min from BTS,"['Property Type', 'Themed Features', 'Proximity to Transit']",3
9053892,คอนโดแสนสบาย,"['Property Type', 'Descriptive Adjectives']",2
9060067,บ้านกลางเมือง สาทร-ราชพฤกษ์,"['Property Type', 'Location Details']",2
9060181,"City center, Cozy, Convenience,","['Location Details', 'Descriptive Adjectives', 'Amenities']",3
9066964,THE NINTH PLACE CONDO SRINAKARIN RD,"['Property Type', 'Location Details']",2
9075590,Stylish Private House in Tranquil Central Residential Area,"['Property Type', 'Descriptive Adjectives', 'Location Details']",3
9080092,"52.5M Supalai Park Srinakarin, BTS Udomsuk","['Property Type', 'Area Size', 'Location Details', 'Proximity to Transit']",4
9080145,1Br/Heart of Sathorn/LooftopPool/BTS/WiFi,"['Bedroom Count', 'Location Details', 'Amenities', 'Proximity to Transit']",4
9080633,รัณตา,"['Property Type', 'Location Details']",2
9118133,Condominium silom/sathorn 5min BTS,"['Property Type', 'Location Details', 'Proximity to Transit']",3
9118829,vacio suite Executive,"['Property Type', 'Themed Features']",2
9120644,vacio suite room,"['Property Type', 'Themed Features']",2
9126871,ใกล้สนามบินสุวรรณภูมิ Near Airport,"['Proximity to Transit', 'Location Details']",2
9138110,คอนโดทรีโอ้การ์เด้นท์  ติดรถไฟฟ้า ศรีนครินทร์ 38,"['Property Type', 'Proximity to Transit', 'Location Details']",3
9138860,2 min to Dinosours Park,"['Proximity to Transit', 'Location Details']",2
9142346,Evans Villa 6 Only Fan Green and Private,"['Property Type', 'Descriptive Adjectives', 'Themed Features']",3
9143764,Nice & Clean apartment (612),"['Descriptive Adjectives', 'Property Type']",2
9145078,Nice & Clean apartment (610),"['Descriptive Adjectives', 'Property Type']",2
9156356,Metro Park Sathorn - Resort Styles,"['Property Type', 'Location Details', 'Themed Features']",3
9162590,New modern private apartment,"['Descriptive Adjectives', 'Property Type']",2
9176480,"Sukhumvit Thonglor,Smithivej Hospital,Hive","['Location Details', 'Proximity to Transit']",2
9176702,Loft style Studio with River view,"['Property Type', 'Themed Features', 'View']",3
9203881,Spacious 4 Bedrooms House in Bangna,"['Property Type', 'Bedroom Count', 'Descriptive Adjectives', 'Location Details']",4
9210468,My Place,['Property Type'],1
9211436,COZY&CLEAN&BTS (monthly) 10min walk to skytrain,"['Descriptive Adjectives', 'Proximity to Transit', 'Additional Services']",3
9220087,Modern 1 BR apartment - 5 min walk from Nana BTS,"['Descriptive Adjectives', 'Bedroom Count', 'Property Type', 'Proximity to Transit']",4
9220439,Thong Lor BTS-condo 4 single/couple,"['Property Type', 'Location Details', 'Proximity to Transit']",3
